AirportCode,ClimateZone,SurfaceType,SectionID,Age,PCI,HasRehab
PHL,wet-freeze,AC,3,8,95.73,0
PHL,wet-freeze,AC,3,9,95.94,0
PHL,wet-freeze,AC,3,10,81.79,0
PHL,wet-freeze,AC,3,11,82.75,0
PHL,wet-freeze,AC,3,12,55.1,0
PHL,wet-freeze,AC,3,13,68.21,0
PHL,wet-freeze,AC,3,14,100.0,1
PHL,wet-freeze,AC,3,15,94.75,0
PHL,wet-freeze,AC,3,16,91.59,0
PHL,wet-freeze,AC,3,17,76.31,0
PHL,wet-freeze,AC,3,18,80.54,0
PHL,wet-freeze,AC,3,19,75.29,0
PHL,wet-freeze,AC,3,20,73.09,0
PHL,wet-freeze,AC,3,21,97.41,1
PHL,wet-freeze,AC,3,22,90.25,0
PHL,wet-freeze,AC,3,23,84.43,0
PHL,wet-freeze,AC,3,24,85.42,0
PHL,wet-freeze,AC,3,25,73.9,0
PHL,wet-freeze,AC,3,26,63.2,0
PHL,wet-freeze,AC,3,27,62.95,0
PHL,wet-freeze,AC,3,28,100.0,1
PHL,wet-freeze,AC,3,29,98.86,0
PHL,wet-freeze,AC,3,30,83.01,0
PHL,wet-freeze,AC,4,0,94.7,0
PHL,wet-freeze,AC,4,1,89.17,0
PHL,wet-freeze,AC,4,2,77.11,0
PHL,wet-freeze,AC,4,3,81.59,0
PHL,wet-freeze,AC,4,4,77.96,0
PHL,wet-freeze,AC,4,5,69.49,0
PHL,wet-freeze,AC,4,6,63.45,0
PHL,wet-freeze,AC,4,7,92.92,1
PHL,wet-freeze,AC,4,8,94.46,0
PHL,wet-freeze,AC,4,9,91.62,0
PHL,wet-freeze,AC,4,10,85.8,0
PHL,wet-freeze,AC,4,11,82.99,0
PHL,wet-freeze,AC,4,12,79.02,0
PHL,wet-freeze,AC,4,13,81.4,0
PHL,wet-freeze,AC,4,14,100.0,1
PHL,wet-freeze,AC,4,15,97.38,0
PHL,wet-freeze,AC,4,16,90.29,0
PHL,wet-freeze,AC,4,17,72.69,0
PHL,wet-freeze,AC,4,18,76.01,0
PHL,wet-freeze,AC,4,19,68.18,0
PHL,wet-freeze,AC,4,20,72.47,0
PHL,wet-freeze,AC,4,21,99.04,1
PHL,wet-freeze,AC,4,22,97.25,0
PHL,wet-freeze,AC,4,23,87.91,0
PHL,wet-freeze,AC,4,24,74.77,0
PHL,wet-freeze,AC,4,25,79.55,0
PHL,wet-freeze,AC,4,26,72.11,0
PHL,wet-freeze,AC,4,27,65.03,0
PHL,wet-freeze,AC,4,28,95.45,1
PHL,wet-freeze,AC,4,29,100.0,0
PHL,wet-freeze,AC,4,30,80.77,0
PHL,wet-freeze,AC,5,0,98.36,0
PHL,wet-freeze,AC,5,1,99.4,0
PHL,wet-freeze,AC,5,2,76.89,0
PHL,wet-freeze,AC,5,3,75.34,0
PHL,wet-freeze,AC,5,4,73.87,0
PHL,wet-freeze,AC,5,5,67.6,0
PHL,wet-freeze,AC,5,6,55.58,0
PHL,wet-freeze,AC,5,7,100.0,1
PHL,wet-freeze,AC,5,8,87.51,0
PHL,wet-freeze,AC,5,9,90.76,0
PHL,wet-freeze,AC,5,10,77.72,0
PHL,wet-freeze,AC,5,11,84.15,0
PHL,wet-freeze,AC,5,12,68.75,0
PHL,wet-freeze,AC,5,13,64.39,0
PHL,wet-freeze,AC,5,14,100.0,1
PHL,wet-freeze,AC,5,15,87.66,0
PHL,wet-freeze,AC,5,16,87.61,0
PHL,wet-freeze,AC,5,17,86.86,0
PHL,wet-freeze,AC,5,18,68.69,0
PHL,wet-freeze,AC,5,19,72.49,0
PHL,wet-freeze,AC,5,20,69.18,0
PHL,wet-freeze,AC,5,21,100.0,1
PHL,wet-freeze,AC,5,22,85.16,0
PHL,wet-freeze,AC,5,23,76.32,0
PHL,wet-freeze,AC,5,24,77.34,0
PHL,wet-freeze,AC,5,25,70.54,0
PHL,wet-freeze,AC,5,26,65.83,0
PHL,wet-freeze,AC,5,27,57.89,0
PHL,wet-freeze,AC,5,28,96.6,1
PHL,wet-freeze,AC,5,29,91.82,0
PHL,wet-freeze,AC,5,30,86.91,0
PHL,wet-freeze,PCC,6,0,92.17,0
PHL,wet-freeze,PCC,6,1,100.0,0
PHL,wet-freeze,PCC,6,2,90.2,0
PHL,wet-freeze,PCC,6,3,76.41,0
PHL,wet-freeze,PCC,6,4,82.94,0
PHL,wet-freeze,PCC,6,5,70.57,0
PHL,wet-freeze,PCC,6,6,74.84,0
PHL,wet-freeze,PCC,6,7,100.0,1
PHL,wet-freeze,PCC,6,8,92.05,0
PHL,wet-freeze,PCC,6,9,94.5,0
PHL,wet-freeze,PCC,6,10,87.22,0
PHL,wet-freeze,PCC,6,11,85.65,0
PHL,wet-freeze,PCC,6,12,86.0,0
PHL,wet-freeze,PCC,6,13,69.43,0
PHL,wet-freeze,PCC,6,14,96.23,1
PHL,wet-freeze,PCC,6,15,91.44,0
PHL,wet-freeze,PCC,6,16,87.23,0
PHL,wet-freeze,PCC,6,17,83.38,0
PHL,wet-freeze,PCC,6,18,79.42,0
PHL,wet-freeze,PCC,6,19,73.97,0
PHL,wet-freeze,PCC,6,20,71.25,0
PHL,wet-freeze,PCC,6,21,100.0,1
PHL,wet-freeze,PCC,6,22,100.0,0
PHL,wet-freeze,PCC,6,23,89.62,0
PHL,wet-freeze,PCC,6,24,99.31,0
PHL,wet-freeze,PCC,6,25,82.51,0
PHL,wet-freeze,PCC,6,26,70.32,0
PHL,wet-freeze,PCC,6,27,64.52,0
PHL,wet-freeze,PCC,6,28,100.0,1
PHL,wet-freeze,PCC,6,29,94.26,0
PHL,wet-freeze,PCC,6,30,91.9,0
PHL,wet-freeze,PCC,7,0,99.22,0
PHL,wet-freeze,PCC,7,1,90.42,0
PHL,wet-freeze,PCC,7,2,80.67,0
PHL,wet-freeze,PCC,7,3,74.87,0
PHL,wet-freeze,PCC,7,4,77.02,0
PHL,wet-freeze,PCC,7,5,78.48,0
PHL,wet-freeze,PCC,7,6,72.19,0
PHL,wet-freeze,PCC,7,7,93.77,1
PHL,wet-freeze,PCC,7,8,97.59,0
PHL,wet-freeze,PCC,7,9,91.91,0
PHL,wet-freeze,PCC,7,10,80.4,0
PHL,wet-freeze,PCC,7,11,80.85,0
PHL,wet-freeze,PCC,7,12,74.28,0
PHL,wet-freeze,PCC,7,13,62.09,0
PHL,wet-freeze,PCC,7,14,100.0,1
PHL,wet-freeze,PCC,7,15,98.74,0
PHL,wet-freeze,PCC,7,16,97.69,0
PHL,wet-freeze,PCC,7,17,92.45,0
PHL,wet-freeze,PCC,7,18,75.22,0
PHL,wet-freeze,PCC,7,19,72.16,0
PHL,wet-freeze,PCC,7,20,73.03,0
PHL,wet-freeze,PCC,7,21,100.0,1
PHL,wet-freeze,PCC,7,22,95.89,0
PHL,wet-freeze,PCC,7,23,100.0,0
PHL,wet-freeze,PCC,7,24,83.93,0
PHL,wet-freeze,PCC,7,25,81.23,0
PHL,wet-freeze,PCC,7,26,75.08,0
PHL,wet-freeze,PCC,7,27,66.06,0
PHL,wet-freeze,PCC,7,28,98.42,1
PHL,wet-freeze,PCC,7,29,98.4,0
PHL,wet-freeze,PCC,7,30,85.6,0
PHL,wet-freeze,PCC,8,0,94.72,0
PHL,wet-freeze,PCC,8,1,89.49,0
PHL,wet-freeze,PCC,8,2,88.97,0
PHL,wet-freeze,PCC,8,3,96.89,0
PHL,wet-freeze,PCC,8,4,69.83,0
PHL,wet-freeze,PCC,8,5,78.53,0
PHL,wet-freeze,PCC,8,6,61.15,0
PHL,wet-freeze,PCC,8,7,97.64,1
PHL,wet-freeze,PCC,8,8,100.0,0
PHL,wet-freeze,PCC,8,9,92.33,0
PHL,wet-freeze,PCC,8,10,79.6,0
PHL,wet-freeze,PCC,8,11,75.1,0
PHL,wet-freeze,PCC,8,12,75.19,0
PHL,wet-freeze,PCC,8,13,61.44,0
PHL,wet-freeze,PCC,8,14,100.0,1
PHL,wet-freeze,PCC,8,15,93.32,0
PHL,wet-freeze,PCC,8,16,85.88,0
PHL,wet-freeze,PCC,8,17,94.52,0
PHL,wet-freeze,PCC,8,18,82.8,0
PHL,wet-freeze,PCC,8,19,64.54,0
PHL,wet-freeze,PCC,8,20,72.1,0
PHL,wet-freeze,PCC,8,21,96.69,1
PHL,wet-freeze,PCC,8,22,98.85,0
PHL,wet-freeze,PCC,8,23,82.58,0
PHL,wet-freeze,PCC,8,24,81.05,0
PHL,wet-freeze,PCC,8,25,76.98,0
PHL,wet-freeze,PCC,8,26,73.04,0
PHL,wet-freeze,PCC,8,27,57.1,0
PHL,wet-freeze,PCC,8,28,98.33,1
PHL,wet-freeze,PCC,8,29,89.17,0
PHL,wet-freeze,PCC,8,30,79.66,0
PHL,wet-freeze,PCC,9,0,100.0,0
PHL,wet-freeze,PCC,9,1,92.2,0
PHL,wet-freeze,PCC,9,2,81.04,0
PHL,wet-freeze,PCC,9,3,88.49,0
PHL,wet-freeze,PCC,9,4,88.17,0
PHL,wet-freeze,PCC,9,5,78.06,0
PHL,wet-freeze,PCC,9,6,60.8,0
PHL,wet-freeze,PCC,9,7,97.58,1
PHL,wet-freeze,PCC,9,8,100.0,0
PHL,wet-freeze,PCC,9,9,87.58,0
PHL,wet-freeze,PCC,9,10,88.12,0
PHL,wet-freeze,PCC,9,11,84.9,0
PHL,wet-freeze,PCC,9,12,70.01,0
PHL,wet-freeze,PCC,9,13,70.96,0
PHL,wet-freeze,PCC,9,14,83.79,1
PHL,wet-freeze,PCC,9,15,87.49,0
PHL,wet-freeze,PCC,9,16,87.76,0
PHL,wet-freeze,PCC,9,17,78.74,0
PHL,wet-freeze,PCC,9,18,87.33,0
PHL,wet-freeze,PCC,9,19,65.86,0
PHL,wet-freeze,PCC,9,20,66.56,0
PHL,wet-freeze,PCC,9,21,100.0,1
PHL,wet-freeze,PCC,9,22,100.0,0
PHL,wet-freeze,PCC,9,23,80.9,0
PHL,wet-freeze,PCC,9,24,89.05,0
PHL,wet-freeze,PCC,9,25,76.94,0
PHL,wet-freeze,PCC,9,26,65.52,0
PHL,wet-freeze,PCC,9,27,67.15,0
PHL,wet-freeze,PCC,9,28,100.0,1
PHL,wet-freeze,PCC,9,29,90.16,0
PHL,wet-freeze,PCC,9,30,86.93,0
PHL,wet-freeze,PCC,10,0,91.88,0
PHL,wet-freeze,PCC,10,1,91.33,0
PHL,wet-freeze,PCC,10,2,88.82,0
PHL,wet-freeze,PCC,10,3,90.24,0
PHL,wet-freeze,PCC,10,4,72.26,0
PHL,wet-freeze,PCC,10,5,84.05,0
PHL,wet-freeze,PCC,10,6,60.17,0
PHL,wet-freeze,PCC,10,7,99.24,1
PHL,wet-freeze,PCC,10,8,98.88,0
PHL,wet-freeze,PCC,10,9,91.39,0
PHL,wet-freeze,PCC,10,10,83.86,0
PHL,wet-freeze,PCC,10,11,81.25,0
PHL,wet-freeze,PCC,10,12,72.81,0
PHL,wet-freeze,PCC,10,13,65.33,0
PHL,wet-freeze,PCC,10,14,100.0,1
PHL,wet-freeze,PCC,10,15,98.23,0
PHL,wet-freeze,PCC,10,16,88.82,0
PHL,wet-freeze,PCC,10,17,92.4,0
PHL,wet-freeze,PCC,10,18,82.16,0
PHL,wet-freeze,PCC,10,19,77.64,0
PHL,wet-freeze,PCC,10,20,69.69,0
PHL,wet-freeze,PCC,10,21,95.86,1
PHL,wet-freeze,PCC,10,22,91.82,0
PHL,wet-freeze,PCC,10,23,93.9,0
PHL,wet-freeze,PCC,10,24,85.83,0
PHL,wet-freeze,PCC,10,25,75.86,0
PHL,wet-freeze,PCC,10,26,70.13,0
PHL,wet-freeze,PCC,10,27,67.88,0
PHL,wet-freeze,PCC,10,28,97.04,1
PHL,wet-freeze,PCC,10,29,95.59,0
PHL,wet-freeze,PCC,10,30,87.49,0
DEN,dry-freeze,AC,11,0,93.12,0
DEN,dry-freeze,AC,11,1,96.18,0
DEN,dry-freeze,AC,11,2,89.7,0
DEN,dry-freeze,AC,11,3,83.3,0
DEN,dry-freeze,AC,11,4,82.97,0
DEN,dry-freeze,AC,11,5,73.84,0
DEN,dry-freeze,AC,11,6,74.48,0
DEN,dry-freeze,AC,11,7,98.45,1
DEN,dry-freeze,AC,11,8,96.44,0
DEN,dry-freeze,AC,11,9,90.22,0
DEN,dry-freeze,AC,11,10,85.94,0
DEN,dry-freeze,AC,11,11,82.52,0
DEN,dry-freeze,AC,11,12,71.81,0
DEN,dry-freeze,AC,11,13,80.82,0
DEN,dry-freeze,AC,11,14,94.97,1
DEN,dry-freeze,AC,11,15,89.47,0
DEN,dry-freeze,AC,11,16,95.88,0
DEN,dry-freeze,AC,11,17,86.76,0
DEN,dry-freeze,AC,11,18,78.9,0
DEN,dry-freeze,AC,11,19,75.22,0
DEN,dry-freeze,AC,11,20,66.85,0
DEN,dry-freeze,AC,11,21,95.51,1
DEN,dry-freeze,AC,11,22,95.31,0
DEN,dry-freeze,AC,11,23,87.68,0
DEN,dry-freeze,AC,11,24,88.7,0
DEN,dry-freeze,AC,11,25,76.44,0
DEN,dry-freeze,AC,11,26,68.04,0
DEN,dry-freeze,AC,11,27,63.45,0
DEN,dry-freeze,AC,11,28,100.0,1
DEN,dry-freeze,AC,11,29,90.35,0
DEN,dry-freeze,AC,11,30,82.78,0
DEN,dry-freeze,AC,12,0,98.98,0
DEN,dry-freeze,AC,12,1,96.45,0
DEN,dry-freeze,AC,12,2,86.61,0
DEN,dry-freeze,AC,12,3,80.61,0
DEN,dry-freeze,AC,12,4,79.52,0
DEN,dry-freeze,AC,12,5,65.25,0
DEN,dry-freeze,AC,12,6,60.69,0
DEN,dry-freeze,AC,12,7,96.41,1
DEN,dry-freeze,AC,12,8,95.53,0
DEN,dry-freeze,AC,12,9,94.84,0
DEN,dry-freeze,AC,12,10,96.56,0
DEN,dry-freeze,AC,12,11,86.76,0
DEN,dry-freeze,AC,12,12,75.42,0
DEN,dry-freeze,AC,12,13,69.59,0
DEN,dry-freeze,AC,12,14,94.99,1
DEN,dry-freeze,AC,12,15,92.65,0
DEN,dry-freeze,AC,12,16,87.08,0
DEN,dry-freeze,AC,12,17,85.74,0
DEN,dry-freeze,AC,12,18,76.23,0
DEN,dry-freeze,AC,12,19,76.23,0
DEN,dry-freeze,AC,12,20,74.11,0
DEN,dry-freeze,AC,12,21,99.46,1
DEN,dry-freeze,AC,12,22,96.37,0
DEN,dry-freeze,AC,12,23,91.23,0
DEN,dry-freeze,AC,12,24,81.24,0
DEN,dry-freeze,AC,12,25,76.43,0
DEN,dry-freeze,AC,12,26,67.72,0
DEN,dry-freeze,AC,12,27,60.0,0
DEN,dry-freeze,AC,12,28,96.13,1
DEN,dry-freeze,AC,12,29,92.16,0
DEN,dry-freeze,AC,12,30,86.24,0
DEN,dry-freeze,AC,13,0,100.0,0
DEN,dry-freeze,AC,13,1,97.05,0
DEN,dry-freeze,AC,13,2,99.35,0
DEN,dry-freeze,AC,13,3,78.46,0
DEN,dry-freeze,AC,13,4,80.92,0
DEN,dry-freeze,AC,13,5,71.48,0
DEN,dry-freeze,AC,13,6,75.74,0
DEN,dry-freeze,AC,13,7,95.96,1
DEN,dry-freeze,AC,13,8,91.88,0
DEN,dry-freeze,AC,13,9,86.86,0
DEN,dry-freeze,AC,13,10,76.02,0
DEN,dry-freeze,AC,13,11,77.42,0
DEN,dry-freeze,AC,13,12,69.72,0
DEN,dry-freeze,AC,13,13,70.54,0
DEN,dry-freeze,AC,13,14,100.0,1
DEN,dry-freeze,AC,13,15,100.0,0
DEN,dry-freeze,AC,13,16,92.53,0
DEN,dry-freeze,AC,13,17,80.25,0
DEN,dry-freeze,AC,13,18,71.85,0
DEN,dry-freeze,AC,13,19,74.5,0
DEN,dry-freeze,AC,13,20,62.03,0
DEN,dry-freeze,AC,13,21,100.0,1
DEN,dry-freeze,AC,13,22,100.0,0
DEN,dry-freeze,AC,13,23,87.66,0
DEN,dry-freeze,AC,13,24,73.79,0
DEN,dry-freeze,AC,13,25,81.02,0
DEN,dry-freeze,AC,13,26,68.6,0
DEN,dry-freeze,AC,13,27,68.69,0
DEN,dry-freeze,AC,13,28,92.03,1
DEN,dry-freeze,AC,13,29,90.84,0
DEN,dry-freeze,AC,13,30,85.15,0
DEN,dry-freeze,AC,14,0,95.68,0
DEN,dry-freeze,AC,14,1,86.86,0
DEN,dry-freeze,AC,14,2,89.51,0
DEN,dry-freeze,AC,14,3,74.59,0
DEN,dry-freeze,AC,14,4,76.23,0
DEN,dry-freeze,AC,14,5,71.11,0
DEN,dry-freeze,AC,14,6,69.71,0
DEN,dry-freeze,AC,14,7,100.0,1
DEN,dry-freeze,AC,14,8,91.15,0
DEN,dry-freeze,AC,14,9,84.44,0
DEN,dry-freeze,AC,14,10,92.54,0
DEN,dry-freeze,AC,14,11,83.69,0
DEN,dry-freeze,AC,14,12,72.87,0
DEN,dry-freeze,AC,14,13,79.36,0
DEN,dry-freeze,AC,14,14,100.0,1
DEN,dry-freeze,AC,14,15,100.0,0
DEN,dry-freeze,AC,14,16,89.51,0
DEN,dry-freeze,AC,14,17,95.05,0
DEN,dry-freeze,AC,14,18,87.11,0
DEN,dry-freeze,AC,14,19,73.78,0
DEN,dry-freeze,AC,14,20,72.51,0
DEN,dry-freeze,AC,14,21,100.0,1
DEN,dry-freeze,AC,14,22,100.0,0
DEN,dry-freeze,AC,14,23,81.94,0
DEN,dry-freeze,AC,14,24,83.08,0
DEN,dry-freeze,AC,14,25,78.14,0
DEN,dry-freeze,AC,14,26,58.6,0
DEN,dry-freeze,AC,14,27,57.32,0
DEN,dry-freeze,AC,14,28,89.8,1
DEN,dry-freeze,AC,14,29,91.33,0
DEN,dry-freeze,AC,14,30,90.41,0
DEN,dry-freeze,AC,15,0,100.0,0
DEN,dry-freeze,AC,15,1,90.86,0
DEN,dry-freeze,AC,15,2,93.26,0
DEN,dry-freeze,AC,15,3,74.7,0
DEN,dry-freeze,AC,15,4,69.52,0
DEN,dry-freeze,AC,15,5,73.76,0
DEN,dry-freeze,AC,15,6,71.99,0
DEN,dry-freeze,AC,15,7,99.84,1
DEN,dry-freeze,AC,15,8,85.61,0
DEN,dry-freeze,AC,15,9,92.19,0
DEN,dry-freeze,AC,15,10,81.52,0
DEN,dry-freeze,AC,15,11,84.5,0
DEN,dry-freeze,AC,15,12,77.25,0
DEN,dry-freeze,AC,15,13,64.0,0
DEN,dry-freeze,AC,15,14,97.43,1
DEN,dry-freeze,AC,15,15,88.7,0
DEN,dry-freeze,AC,15,16,89.05,0
DEN,dry-freeze,AC,15,17,88.43,0
DEN,dry-freeze,AC,15,18,75.43,0
DEN,dry-freeze,AC,15,19,78.31,0
DEN,dry-freeze,AC,15,20,67.95,0
DEN,dry-freeze,AC,15,21,96.04,1
DEN,dry-freeze,AC,15,22,93.06,0
DEN,dry-freeze,AC,15,23,81.69,0
DEN,dry-freeze,AC,15,24,78.2,0
DEN,dry-freeze,AC,15,25,69.19,0
DEN,dry-freeze,AC,15,26,80.21,0
DEN,dry-freeze,AC,15,27,64.63,0
DEN,dry-freeze,AC,15,28,96.5,1
DEN,dry-freeze,AC,15,29,92.7,0
DEN,dry-freeze,AC,15,30,83.17,0
DEN,dry-freeze,PCC,16,0,96.24,0
DEN,dry-freeze,PCC,16,1,98.1,0
DEN,dry-freeze,PCC,16,2,94.8,0
DEN,dry-freeze,PCC,16,3,83.87,0
DEN,dry-freeze,PCC,16,4,80.34,0
DEN,dry-freeze,PCC,16,5,76.62,0
DEN,dry-freeze,PCC,16,6,61.53,0
DEN,dry-freeze,PCC,16,7,92.42,1
DEN,dry-freeze,PCC,16,8,100.0,0
DEN,dry-freeze,PCC,16,9,99.72,0
DEN,dry-freeze,PCC,16,10,86.99,0
DEN,dry-freeze,PCC,16,11,88.54,0
DEN,dry-freeze,PCC,16,12,83.77,0
DEN,dry-freeze,PCC,16,13,93.25,0
DEN,dry-freeze,PCC,16,14,100.0,1
DEN,dry-freeze,PCC,16,15,93.03,0
DEN,dry-freeze,PCC,16,16,85.63,0
DEN,dry-freeze,PCC,16,17,77.76,0
DEN,dry-freeze,PCC,16,18,81.35,0
DEN,dry-freeze,PCC,16,19,72.81,0
DEN,dry-freeze,PCC,16,20,63.75,0
DEN,dry-freeze,PCC,16,21,96.77,1
DEN,dry-freeze,PCC,16,22,89.17,0
DEN,dry-freeze,PCC,16,23,98.58,0
DEN,dry-freeze,PCC,16,24,88.49,0
DEN,dry-freeze,PCC,16,25,80.56,0
DEN,dry-freeze,PCC,16,26,81.56,0
DEN,dry-freeze,PCC,16,27,68.03,0
DEN,dry-freeze,PCC,16,28,95.69,1
DEN,dry-freeze,PCC,16,29,100.0,0
DEN,dry-freeze,PCC,16,30,92.67,0
DEN,dry-freeze,PCC,17,0,92.14,0
DEN,dry-freeze,PCC,17,1,90.6,0
DEN,dry-freeze,PCC,17,2,83.14,0
DEN,dry-freeze,PCC,17,3,78.43,0
DEN,dry-freeze,PCC,17,4,87.0,0
DEN,dry-freeze,PCC,17,5,86.58,0
DEN,dry-freeze,PCC,17,6,66.25,0
DEN,dry-freeze,PCC,17,7,100.0,1
DEN,dry-freeze,PCC,17,8,91.1,0
DEN,dry-freeze,PCC,17,9,86.8,0
DEN,dry-freeze,PCC,17,10,79.88,0
DEN,dry-freeze,PCC,17,11,73.69,0
DEN,dry-freeze,PCC,17,12,72.02,0
DEN,dry-freeze,PCC,17,13,61.62,0
DEN,dry-freeze,PCC,17,14,100.0,1
DEN,dry-freeze,PCC,17,15,94.35,0
DEN,dry-freeze,PCC,17,16,87.59,0
DEN,dry-freeze,PCC,17,17,79.28,0
DEN,dry-freeze,PCC,17,18,74.67,0
DEN,dry-freeze,PCC,17,19,76.19,0
DEN,dry-freeze,PCC,17,20,68.4,0
DEN,dry-freeze,PCC,17,21,95.11,1
DEN,dry-freeze,PCC,17,22,94.09,0
DEN,dry-freeze,PCC,17,23,92.0,0
DEN,dry-freeze,PCC,17,24,75.41,0
DEN,dry-freeze,PCC,17,25,82.03,0
DEN,dry-freeze,PCC,17,26,70.01,0
DEN,dry-freeze,PCC,17,27,69.68,0
DEN,dry-freeze,PCC,17,28,96.18,1
DEN,dry-freeze,PCC,17,29,84.95,0
DEN,dry-freeze,PCC,17,30,79.4,0
DEN,dry-freeze,PCC,18,0,97.17,0
DEN,dry-freeze,PCC,18,1,95.94,0
DEN,dry-freeze,PCC,18,2,87.01,0
DEN,dry-freeze,PCC,18,3,91.67,0
DEN,dry-freeze,PCC,18,4,76.92,0
DEN,dry-freeze,PCC,18,5,80.78,0
DEN,dry-freeze,PCC,18,6,72.53,0
DEN,dry-freeze,PCC,18,7,96.74,1
DEN,dry-freeze,PCC,18,8,96.85,0
DEN,dry-freeze,PCC,18,9,87.08,0
DEN,dry-freeze,PCC,18,10,84.19,0
DEN,dry-freeze,PCC,18,11,88.42,0
DEN,dry-freeze,PCC,18,12,76.41,0
DEN,dry-freeze,PCC,18,13,78.85,0
DEN,dry-freeze,PCC,18,14,94.35,1
DEN,dry-freeze,PCC,18,15,98.03,0
DEN,dry-freeze,PCC,18,16,98.8,0
DEN,dry-freeze,PCC,18,17,74.6,0
DEN,dry-freeze,PCC,18,18,76.42,0
DEN,dry-freeze,PCC,18,19,78.01,0
DEN,dry-freeze,PCC,18,20,68.39,0
DEN,dry-freeze,PCC,18,21,100.0,1
DEN,dry-freeze,PCC,18,22,90.12,0
DEN,dry-freeze,PCC,18,23,87.08,0
DEN,dry-freeze,PCC,18,24,80.9,0
DEN,dry-freeze,PCC,18,25,84.02,0
DEN,dry-freeze,PCC,18,26,74.6,0
DEN,dry-freeze,PCC,18,27,68.57,0
DEN,dry-freeze,PCC,18,28,97.94,1
DEN,dry-freeze,PCC,18,29,90.22,0
DEN,dry-freeze,PCC,18,30,82.76,0
DEN,dry-freeze,PCC,19,0,98.33,0
DEN,dry-freeze,PCC,19,1,89.32,0
DEN,dry-freeze,PCC,19,2,88.73,0
DEN,dry-freeze,PCC,19,3,93.29,0
DEN,dry-freeze,PCC,19,4,84.41,0
DEN,dry-freeze,PCC,19,5,75.58,0
DEN,dry-freeze,PCC,19,6,79.51,0
DEN,dry-freeze,PCC,19,7,97.96,1
DEN,dry-freeze,PCC,19,8,87.22,0
DEN,dry-freeze,PCC,19,9,88.56,0
DEN,dry-freeze,PCC,19,10,79.09,0
